property_id,city,locality,property_type,bhk,area_sqft,bathrooms,floor,age_years,amenities,amenity_score,price,school_nearby,hospital_nearby,metro_nearby,mall_nearby,location_score,rent_yield,capital_apprec,investment_score,is_fraud
1016,Surat,Althan,Commercial,0,1595,2,6,21,Garden|Security|Lift|Club House|Parking|Jogging Track|Power Backup|CCTV|Gym|Fire Safety|Visitor Parking,11,6171117,5.6,1.0,5.4,5.1,4.28,2.79,5.89,4.34,0
1017,Delhi,Rohini,Independent House,3,1161,3,14,26,Jogging Track|Lift|CCTV|Play Area|Intercom|Gym|Visitor Parking|Garden,8,9209040,8.8,2.6,8.9,7.4,6.93,2.93,4.94,3.94,0
1018,Hyderabad,Madhapur,Villa,5,3962,5,0,16,Lift|Gym|Swimming Pool|Play Area|Club House|Fire Safety|Visitor Parking,7,10677915,7.7,6.4,2.6,7.4,6.03,5.31,6.99,6.15,1
1019,Mumbai,Bandra,Apartment,2,1079,2,1,26,CCTV|Intercom|Parking|Club House|Jogging Track,5,25190392,3.6,9.3,9.7,0.4,5.75,4.15,10.55,7.35,0
1020,Delhi,Vasant Kunj,Commercial,0,1964,3,23,4,Security|Parking|Visitor Parking|Club House|Gym|Jogging Track|Garden|Play Area|Fire Safety|Swimming Pool|Intercom|CCTV|Power Backup|Lift,14,34317952,8.6,2.2,8.2,4.6,5.9,3.83,12.13,7.98,0
1021,Hyderabad,Gachibowli,Apartment,2,1004,2,10,8,Swimming Pool|Visitor Parking|Lift|Garden|Intercom|Club House|Play Area|Gym|CCTV|Parking|Fire Safety|Jogging Track|Security,13,10495268,6.0,3.5,7.9,4.4,5.45,7.91,2.62,5.27,0
1022,Surat,Vesu,Independent House,1,823,1,0,16,Visitor Parking|Intercom|Play Area|Jogging Track|Security|Garden|Club House|Gym|Fire Safety|Parking|Lift|CCTV|Power Backup|Swimming Pool,14,4225329,6.7,3.3,7.0,5.5,5.62,3.15,10.31,6.73,0
1023,Kolkata,New Town,Commercial,0,2631,2,12,17,Gym|Lift|Visitor Parking|Security|Club House|Garden|Power Backup|Play Area|CCTV|Swimming Pool|Intercom|Parking|Fire Safety,13,15009720,2.8,6.6,6.2,0.9,4.12,7.71,4.29,6.0,0
1024,Chennai,T Nagar,Villa,3,2000,3,0,1,Power Backup|CCTV|Swimming Pool,3,17708104,8.9,5.8,7.2,3.8,6.42,4.4,3.07,3.74,0
1025,Mumbai,Bandra,Plot,0,2592,1,0,25,Intercom|Power Backup|Gym|Fire Safety|Security|Swimming Pool|Visitor Parking|Play Area|CCTV|Lift|Parking,11,66869217,8.9,6.1,7.2,5.0,6.8,6.98,8.67,7.83,0
1026,Bangalore,Indiranagar,Plot,0,2923,1,0,26,Lift|Visitor Parking|Intercom|Power Backup|Security|Fire Safety|Play Area|Gym|Garden|Parking,10,32405881,3.4,8.9,0.8,1.5,3.65,4.3,3.14,3.72,0
1027,Hyderabad,Banjara Hills,Plot,0,4139,2,0,17,Club House|Gym|Security|Fire Safety|Play Area|Visitor Parking|CCTV,7,42551542,9.4,3.0,3.9,8.9,6.3,7.01,8.54,7.77,0
1028,Jaipur,Ajmer Road,Villa,4,3597,4,0,8,Power Backup|Gym|Club House|Garden|Jogging Track|Parking,6,16259507,9.2,9.8,5.3,9.1,8.35,5.55,10.28,7.91,0
1029,Delhi,Saket,Villa,4,3288,4,0,1,Club House|Garden|Security|Power Backup,4,54140624,7.6,3.8,7.5,8.3,6.8,3.51,2.15,2.83,0
1030,Mumbai,Thane,Commercial,0,513,2,7,20,Visitor Parking,1,6558266,0.4,0.3,2.5,8.4,2.9,5.73,4.34,5.04,0
1031,Ahmedabad,Bodakdev,Commercial,0,1192,2,22,8,Garden|Parking|CCTV|Jogging Track|Swimming Pool|Visitor Parking|Lift|Gym|Power Backup|Club House|Intercom|Security,12,7014681,9.6,4.0,7.2,0.8,5.4,6.14,9.78,7.96,0
1032,Delhi,Vasant Kunj,Commercial,0,795,3,25,1,Intercom|Club House|Play Area|Garden|Swimming Pool,5,17079492,3.4,8.5,8.2,1.1,5.3,7.76,9.9,8.83,0
1033,Ahmedabad,Satellite,Plot,0,2242,3,0,16,Lift|CCTV|Intercom|Power Backup|Play Area|Club House|Fire Safety|Parking|Swimming Pool|Gym,10,13450912,4.5,7.5,5.7,6.7,6.1,4.02,7.92,5.97,0
1034,Pune,Kharadi,Plot,0,2537,2,0,25,Garden|Lift|CCTV|Visitor Parking,4,17661296,5.2,1.9,2.4,4.1,3.4,5.33,4.36,4.85,0
1035,Ahmedabad,Navrangpura,Plot,0,941,1,0,9,Club House|Jogging Track|Security,3,5640227,5.8,4.7,5.3,4.3,5.03,6.48,5.63,6.05,0
1036,Ahmedabad,Prahlad Nagar,Independent House,3,1236,3,3,23,Garden|Swimming Pool|Jogging Track,3,6191716,7.6,1.9,2.2,4.8,4.12,6.35,14.67,10.51,0
1037,Jaipur,Ajmer Road,Independent House,1,699,1,9,7,Parking|Lift|Gym|Intercom|Fire Safety,5,3122903,9.7,5.5,7.0,1.3,5.88,7.21,7.87,7.54,0
1038,Mumbai,Borivali,Independent House,4,1690,4,14,10,Gym|Lift,2,23547569,4.8,8.2,4.0,0.7,4.42,5.78,1.75,3.77,0
1039,Bangalore,Hebbal,Independent House,1,727,1,3,17,Club House|CCTV|Visitor Parking|Jogging Track|Security|Intercom|Fire Safety|Play Area|Power Backup|Parking|Garden|Swimming Pool,12,5436090,0.6,9.6,1.0,7.6,4.7,5.75,4.71,5.23,0
1040,Delhi,Rohini,Villa,3,2414,3,0,5,,0,25157703,6.9,4.7,0.3,2.9,3.7,3.7,13.03,8.37,0
1041,Delhi,Rohini,Independent House,2,1017,2,3,17,Play Area|Parking|Lift,3,9944607,0.7,1.7,3.1,7.5,3.25,5.42,5.04,5.23,0
1042,Delhi,Saket,Independent House,4,1478,4,16,17,Power Backup|Swimming Pool|CCTV|Gym|Club House|Garden|Lift,7,22354197,2.3,6.7,8.6,5.9,5.88,2.12,11.71,6.92,0
1043,Chennai,Adyar,Apartment,2,1040,2,16,20,Lift|Parking|CCTV|Club House|Power Backup|Swimming Pool|Jogging Track,7,9261038,3.3,6.7,8.6,3.3,5.48,6.16,5.04,5.6,0
1044,Kolkata,Alipore,Apartment,4,1290,4,10,8,Swimming Pool|Visitor Parking|Club House|Intercom|Gym,5,10033011,5.4,4.1,1.9,3.6,3.75,6.54,9.76,8.15,0
1045,Mumbai,Andheri,Independent House,2,1274,2,9,14,Jogging Track|Power Backup|Swimming Pool|Gym|CCTV|Security|Parking|Visitor Parking|Lift|Play Area|Intercom|Garden|Club House|Fire Safety,14,21805585,1.2,8.3,5.0,7.2,5.42,5.05,4.83,4.94,0
1046,Ahmedabad,Navrangpura,Villa,4,2984,4,0,12,CCTV|Intercom|Jogging Track,3,15293643,8.6,2.8,7.9,4.1,5.85,7.61,8.11,7.86,0
1047,Mumbai,Powai,Independent House,4,1352,4,14,17,Garden|Fire Safety|Intercom|Jogging Track|Club House|Power Backup|Visitor Parking,7,27061249,9.8,2.4,3.8,8.6,6.15,4.46,5.45,4.96,0
1048,Ahmedabad,Navrangpura,Plot,0,2046,2,0,30,,0,9319925,9.7,3.3,1.0,8.5,5.62,2.6,13.75,8.18,0
1049,Mumbai,Thane,Villa,4,3064,4,0,2,Visitor Parking|Lift|Garden|CCTV|Club House|Swimming Pool|Jogging Track,7,53479951,8.6,3.8,3.2,7.2,5.7,6.56,13.21,9.88,0
1050,Mumbai,Borivali,Apartment,2,1123,2,21,29,Security|Jogging Track|Swimming Pool|Club House,4,12820803,7.6,7.0,1.0,1.7,4.33,3.8,1.41,2.6,0
1051,Pune,Hinjewadi,Independent House,3,1383,3,13,4,Intercom|Club House|CCTV,3,13678912,1.8,1.8,6.1,3.8,3.38,6.1,7.97,7.04,0
1052,Surat,Vesu,Villa,4,3880,4,0,14,Play Area|Gym|Power Backup|Lift,4,18363971,1.6,4.4,3.5,5.9,3.85,5.83,6.94,6.38,0
1053,Chennai,Porur,Independent House,2,996,2,27,15,Security,1,5661326,3.6,3.0,7.0,0.2,3.45,6.98,6.54,6.76,0
1054,Mumbai,Borivali,Apartment,4,1493,4,24,25,CCTV|Visitor Parking|Garden,3,21776045,1.9,2.5,7.6,7.7,4.92,6.09,2.91,4.5,0
1055,Delhi,Dwarka,Independent House,4,1234,4,18,11,Parking|Swimming Pool|Lift|Garden|Club House|Fire Safety|Security|Visitor Parking|Jogging Track|Intercom|Play Area,11,15835407,2.6,8.2,4.8,8.1,5.92,6.48,5.74,6.11,0
1056,Delhi,Saket,Apartment,2,1186,2,30,7,Play Area|Jogging Track|Fire Safety|Club House|Intercom|Garden|Swimming Pool|Visitor Parking|Security|Gym|Parking|CCTV|Lift,13,22498975,6.7,6.7,5.8,8.2,6.85,7.64,2.52,5.08,0
1057,Hyderabad,Kondapur,Apartment,3,1624,3,7,20,Play Area,1,10098782,9.1,3.0,4.1,1.4,4.4,7.68,5.26,6.47,0
1058,Ahmedabad,Bodakdev,Apartment,2,1254,2,17,4,Power Backup|Garden|Play Area|Intercom|Club House|Parking,6,7467025,6.5,8.3,6.2,9.4,7.6,3.68,10.66,7.17,0
1059,Hyderabad,Kondapur,Plot,0,2734,2,0,3,Garden|Intercom|Play Area|Fire Safety|Gym|Club House|Lift|Swimming Pool|CCTV|Security,10,24704511,2.1,6.4,9.7,0.5,4.67,4.0,14.84,9.42,0
1060,Surat,Vesu,Apartment,2,1100,2,6,26,Security|Garden|Parking|CCTV|Gym|Lift|Jogging Track|Swimming Pool|Intercom|Power Backup|Club House|Play Area|Visitor Parking,13,5414168,3.6,7.9,5.9,0.2,4.4,3.59,2.77,3.18,0
1061,Kolkata,Alipore,Apartment,1,843,1,14,24,Intercom|CCTV|Swimming Pool|Power Backup|Fire Safety,5,5337140,6.2,7.3,9.1,6.6,7.3,3.81,10.01,6.91,0
1062,Mumbai,Bandra,Plot,0,4090,2,0,21,Power Backup,1,104164071,4.4,9.0,3.2,1.5,4.53,2.76,9.74,6.25,0
1063,Surat,Althan,Independent House,4,1811,4,16,9,Intercom|CCTV|Club House|Swimming Pool|Play Area|Fire Safety|Security,7,7425727,8.9,4.1,8.3,4.0,6.33,6.38,5.38,5.88,0
1064,Pune,Baner,Independent House,2,1151,2,29,15,Swimming Pool,1,9382511,0.9,1.0,7.4,8.1,4.35,5.34,9.21,7.28,0
1065,Jaipur,Ajmer Road,Independent House,1,810,1,11,27,Visitor Parking|Club House|Jogging Track|Gym|Lift|CCTV|Garden|Play Area|Intercom|Power Backup,10,3117191,6.6,2.2,1.1,8.5,4.6,4.21,11.68,7.95,0
1066,Surat,Vesu,Plot,0,1015,3,0,29,Fire Safety|Jogging Track|Lift|Gym|Parking|Visitor Parking|Intercom|CCTV|Club House|Play Area,10,4797831,1.4,6.6,0.7,7.4,4.03,7.83,2.28,5.05,0
1067,Jaipur,Malviya Nagar,Plot,0,4239,2,0,10,Garden|Lift,2,22633557,7.8,5.7,0.8,0.5,3.7,2.94,9.65,6.29,0
1068,Delhi,Vasant Kunj,Plot,0,4273,2,0,19,Club House|Lift|Security|Intercom|Swimming Pool|Garden|Fire Safety,7,72013112,6.8,5.9,5.3,3.1,5.28,3.32,14.78,9.05,0
1069,Mumbai,Bandra,Villa,4,3530,4,0,24,Visitor Parking|Lift,2,91226219,1.2,5.0,4.3,1.3,2.95,5.2,4.22,4.71,0
1070,Jaipur,C-Scheme,Apartment,4,1959,4,1,13,,0,10183132,0.8,3.1,4.3,4.0,3.05,5.84,5.05,5.45,0
1071,Kolkata,Salt Lake,Independent House,2,1210,2,30,19,Fire Safety|Jogging Track|Garden|Swimming Pool|Club House|Play Area|Security,7,7121576,4.0,0.8,8.7,7.5,5.25,3.33,11.91,7.62,0
1072,Delhi,Lajpat Nagar,Apartment,2,1263,2,24,11,Jogging Track|Play Area|Parking|Security|Swimming Pool,5,20677765,2.0,6.0,7.6,6.6,5.55,3.06,11.82,7.44,0
1073,Ahmedabad,Navrangpura,Commercial,0,2673,2,21,29,CCTV|Play Area|Visitor Parking|Fire Safety|Garden|Jogging Track|Parking|Security|Gym|Club House|Lift|Power Backup|Swimming Pool|Intercom,14,12943951,3.5,0.7,4.6,0.4,2.3,4.21,5.02,4.62,0
1074,Delhi,Lajpat Nagar,Commercial,0,2376,2,14,18,Visitor Parking|Jogging Track|Gym|Power Backup|CCTV|Security|Garden|Lift,8,36934086,1.5,0.6,1.0,9.0,3.02,4.06,11.0,7.53,0
1075,Jaipur,Malviya Nagar,Apartment,2,1162,2,14,14,Intercom|CCTV|Parking|Garden|Play Area|Lift|Club House|Security,8,4990479,6.8,0.5,6.3,3.3,4.22,3.98,8.81,6.4,0
1076,Kolkata,Park Street,Independent House,2,970,2,2,18,Parking|Garden|Lift|Play Area|Club House|Fire Safety|Swimming Pool|Intercom|Jogging Track|Security,10,6667154,3.3,1.3,7.0,9.5,5.28,7.98,13.77,10.88,0
1077,Delhi,Saket,Commercial,0,1782,1,11,9,Security|Garden,2,27981589,4.9,2.3,1.4,0.8,2.35,7.07,2.42,4.75,0
1078,Jaipur,Ajmer Road,Apartment,3,1632,3,4,19,Parking|Fire Safety|Visitor Parking|CCTV|Jogging Track|Power Backup,6,6154725,3.6,7.2,9.7,6.1,6.65,6.51,11.97,9.24,0
1079,Hyderabad,Jubilee Hills,Villa,4,5642,4,0,28,Security|Garden|Play Area|CCTV|Power Backup|Jogging Track|Lift|Club House|Fire Safety|Intercom|Visitor Parking|Gym|Parking,13,55488337,1.4,2.5,6.4,8.7,4.75,5.33,2.44,3.88,0
1080,Jaipur,Vaishali Nagar,Independent House,1,682,1,8,14,Intercom|Parking|Club House|Swimming Pool|Security|Power Backup|Garden|Gym|CCTV|Jogging Track|Fire Safety|Visitor Parking|Play Area|Lift,14,3036508,0.8,2.2,3.2,1.0,1.8,6.29,5.69,5.99,0
1081,Bangalore,Whitefield,Apartment,3,1483,3,22,26,Visitor Parking|Jogging Track,2,11876725,6.2,9.1,0.2,2.2,4.42,2.9,14.16,8.53,0
1082,Surat,Althan,Plot,0,1710,2,0,7,Swimming Pool|Gym|Security|Club House,4,7859370,6.2,0.6,8.4,5.0,5.05,5.22,9.85,7.54,0
1083,Surat,Vesu,Villa,4,5316,4,0,0,Garden|Security|CCTV|Club House|Parking|Swimming Pool|Fire Safety|Gym|Lift,9,35378208,7.9,5.1,0.2,8.7,5.47,2.26,6.42,4.34,0
1084,Pune,Baner,Apartment,3,1069,3,11,7,Play Area|Fire Safety|Swimming Pool|CCTV|Garden|Parking|Gym|Intercom|Lift|Club House|Jogging Track,11,11106633,6.8,9.8,4.8,1.8,5.8,2.81,11.02,6.92,0
1085,Ahmedabad,Bodakdev,Independent House,2,822,2,25,6,Gym|Garden|Lift|Intercom|Club House|Play Area|Power Backup|Parking|Fire Safety|Swimming Pool|CCTV|Jogging Track|Visitor Parking|Security,14,4943291,8.0,4.4,4.0,4.4,5.2,7.74,5.75,6.75,0
1086,Bangalore,Indiranagar,Plot,0,3809,3,0,8,Swimming Pool|Jogging Track|Club House|Fire Safety|Visitor Parking|Parking|Lift|Intercom|Gym|Garden|CCTV|Security,12,50857876,4.5,7.2,1.7,4.4,4.45,4.68,11.18,7.93,0
1087,Pune,Hadapsar,Plot,0,3049,3,0,25,,0,18406602,6.4,3.6,8.0,6.8,6.2,7.72,3.0,5.36,0
1088,Surat,Piplod,Apartment,2,834,2,7,24,Garden|Fire Safety|Club House|CCTV|Gym|Parking|Power Backup|Intercom|Jogging Track|Security,10,3606426,5.7,5.3,4.0,6.5,5.38,3.5,2.59,3.04,0
1089,Bangalore,Indiranagar,Commercial,0,1885,3,3,8,Lift|Jogging Track|Power Backup|Security|CCTV|Fire Safety|Visitor Parking|Swimming Pool|Gym|Club House|Garden|Intercom,12,25109832,7.1,10.0,8.1,9.7,8.73,7.92,10.35,9.13,0
1090,Delhi,Lajpat Nagar,Commercial,0,1489,2,27,5,Jogging Track|Fire Safety|Play Area|Parking|Garden|Intercom|Security|Gym|Swimming Pool|CCTV|Lift,11,25500119,0.3,5.5,3.7,8.0,4.38,5.31,9.57,7.44,0
1091,Delhi,Dwarka,Independent House,4,1934,4,23,15,Club House|Visitor Parking|Fire Safety|CCTV|Swimming Pool|Parking|Garden|Power Backup,8,21470402,4.7,5.2,1.3,8.3,4.88,5.31,9.23,7.27,0
1092,Bangalore,Indiranagar,Commercial,0,526,1,16,4,Parking|Fire Safety|Garden|Security,4,7639025,9.4,8.9,8.5,2.5,7.33,5.81,8.71,7.26,0
1093,Bangalore,HSR Layout,Commercial,0,2485,1,16,20,CCTV|Fire Safety,2,22392306,6.6,7.2,6.1,8.4,7.07,5.38,12.55,8.96,0
1094,Mumbai,Bandra,Apartment,3,1215,3,24,18,CCTV|Play Area|Gym|Power Backup|Intercom|Lift,6,33319999,3.0,2.4,8.1,4.1,4.4,4.72,10.64,7.68,0
1095,Bangalore,Indiranagar,Plot,0,4766,2,0,6,CCTV|Parking|Garden|Jogging Track|Play Area,5,61512514,1.3,3.7,5.6,3.2,3.45,4.8,4.74,4.77,0
1096,Hyderabad,Gachibowli,Apartment,1,748,1,30,12,CCTV|Club House|Security|Parking|Garden|Fire Safety|Jogging Track|Visitor Parking|Swimming Pool|Power Backup|Lift|Intercom|Play Area,13,5910523,0.9,3.9,4.6,2.4,2.95,5.5,1.68,3.59,0
1097,Chennai,Porur,Commercial,0,2979,3,15,9,Gym|Swimming Pool|Club House|Parking|Lift|Garden|Jogging Track|Play Area,8,20979830,0.5,5.6,3.6,2.9,3.15,4.32,7.3,5.81,0
1098,Jaipur,C-Scheme,Commercial,0,2802,1,4,3,Garden|Visitor Parking|Fire Safety|Intercom|Jogging Track|Parking,6,18529463,5.1,5.0,0.5,1.4,3.0,4.0,7.63,5.81,0
1099,Ahmedabad,Satellite,Commercial,0,2411,1,10,29,Garden|Parking|Club House|CCTV|Lift|Fire Safety|Power Backup|Intercom|Play Area,9,12133134,8.2,3.7,6.7,9.8,7.1,5.5,12.15,8.82,0
1100,Mumbai,Borivali,Plot,0,2975,3,0,25,CCTV|Fire Safety|Security|Gym|Visitor Parking|Power Backup|Parking|Lift|Garden|Club House|Jogging Track|Play Area,12,44137824,2.4,5.7,7.0,1.9,4.25,4.65,6.86,5.76,0
1101,Kolkata,New Town,Plot,0,4910,3,0,29,Fire Safety|Jogging Track|Visitor Parking|Gym|Parking|Intercom|Security,7,20011983,10.0,4.8,3.8,9.6,7.05,4.76,8.46,6.61,0
1102,Jaipur,C-Scheme,Independent House,4,1396,4,30,7,Intercom|Lift|Security|Visitor Parking,4,8220078,7.0,6.9,4.9,4.8,5.9,5.36,14.08,9.72,0
1103,Chennai,Velachery,Apartment,4,1604,4,26,11,Visitor Parking|Parking|Lift|Gym|Jogging Track|Swimming Pool|Garden|Security|Power Backup|Fire Safety|Club House|Play Area,12,11973736,5.4,9.3,7.0,1.4,5.78,5.69,9.22,7.46,0
1104,Hyderabad,Banjara Hills,Commercial,0,1224,3,7,1,Club House,1,14602912,4.7,6.8,1.4,9.6,5.62,7.87,3.21,5.54,0
1105,Ahmedabad,Navrangpura,Villa,4,4431,4,0,9,Gym|Visitor Parking|Swimming Pool|Play Area|CCTV|Security|Fire Safety|Jogging Track|Intercom|Club House,10,26269207,0.4,8.4,7.9,1.9,4.65,6.49,13.21,9.85,0
1106,Chennai,Anna Nagar,Apartment,3,1581,3,19,3,Garden|Lift|Power Backup|Play Area|Intercom|CCTV|Jogging Track|Swimming Pool|Visitor Parking|Security|Parking|Gym|Fire Safety|Club House,14,16423506,4.6,2.6,1.9,7.4,4.12,6.74,8.95,7.84,0
1107,Hyderabad,Gachibowli,Commercial,0,2916,2,26,13,Garden|Swimming Pool|Club House|Play Area|Visitor Parking|Parking|Intercom|Security,8,28379757,2.5,2.6,2.4,7.5,3.75,7.72,5.23,6.47,0
1108,Surat,Adajan,Independent House,3,1241,3,1,21,Power Backup,1,5060276,4.1,5.0,9.0,7.0,6.28,3.87,2.64,3.25,0
1109,Chennai,Velachery,Commercial,0,1204,1,30,4,Parking|Power Backup|Jogging Track|CCTV|Garden|Club House|Visitor Parking,7,9719176,8.0,8.3,7.6,6.8,7.67,5.57,12.02,8.79,0
1110,Jaipur,Mansarovar,Commercial,0,1781,1,29,18,Gym,1,7257884,9.0,2.0,5.4,1.6,4.5,7.13,7.19,7.16,0
1111,Hyderabad,Jubilee Hills,Plot,0,1544,3,0,14,Gym|Power Backup|Parking|Intercom|Club House|Visitor Parking|Fire Safety|Lift|Security|Jogging Track|Play Area|Swimming Pool,12,15106751,0.0,2.2,0.7,4.2,1.78,6.2,8.58,7.39,0
1112,Mumbai,Bandra,Plot,0,1059,2,0,13,Visitor Parking|Parking,2,30383529,9.8,6.5,4.2,9.9,7.6,4.29,13.17,8.73,0
1113,Kolkata,Ballygunge,Apartment,2,1134,2,27,11,Parking,1,7886834,3.9,1.3,9.8,8.3,5.83,6.54,14.7,10.62,0
1114,Ahmedabad,Thaltej,Plot,0,3907,1,0,7,Garden|Parking|Lift|Security|Swimming Pool|Gym|Club House,7,25596967,9.4,8.9,2.4,0.7,5.35,5.56,7.25,6.4,0
1115,Mumbai,Andheri,Apartment,4,1649,4,7,17,Visitor Parking|Fire Safety|Gym,3,27483110,9.9,2.3,9.2,5.8,6.8,5.46,11.82,8.64,0
1116,Pune,Kharadi,Independent House,2,1138,2,16,7,Lift|Fire Safety|Gym|Intercom|CCTV|Parking,6,11201807,4.3,5.0,9.7,9.4,7.1,6.03,12.0,9.02,0
1117,Pune,Wakad,Plot,0,2022,2,0,12,Visitor Parking|Intercom,2,14931733,8.5,3.0,7.1,8.1,6.68,7.49,8.87,8.18,0
1118,Kolkata,Alipore,Commercial,0,849,2,7,8,Garden|Play Area|Swimming Pool,3,6016684,8.5,0.9,7.2,1.9,4.62,3.61,10.43,7.02,0
1119,Surat,Adajan,Apartment,2,1211,2,24,18,Play Area|Intercom|Security|Power Backup|Jogging Track|Garden|Lift|Gym|Swimming Pool|Visitor Parking|Club House,11,6063253,7.5,9.1,7.0,7.0,7.65,4.38,4.35,4.37,0
1120,Pune,Baner,Plot,0,4619,3,0,20,Lift|Fire Safety|Garden|Intercom|Power Backup,5,43190254,8.0,7.2,7.6,3.2,6.5,3.22,5.38,4.3,0
1121,Mumbai,Borivali,Villa,5,2995,5,0,0,Intercom|CCTV|Visitor Parking|Club House,4,59614425,2.0,2.3,5.7,2.5,3.12,5.3,14.21,9.76,0
1122,Pune,Baner,Plot,0,4818,2,0,5,Visitor Parking|Garden|Parking|Jogging Track|Intercom|Power Backup|Play Area|Lift|Fire Safety|Gym|Club House,11,49465118,0.7,8.2,0.5,0.1,2.37,2.82,9.83,6.33,0
1123,Delhi,Rohini,Apartment,2,1058,2,14,11,,0,11310752,6.7,6.2,4.8,4.9,5.65,2.04,8.72,5.38,0
1124,Mumbai,Bandra,Commercial,0,1425,3,9,0,Fire Safety|Jogging Track|Play Area|Club House|Parking|Swimming Pool|Intercom|Lift,8,44271492,1.9,5.3,8.2,2.7,4.52,4.38,6.22,5.3,0
1125,Kolkata,Ballygunge,Commercial,0,1296,3,7,9,Fire Safety|Swimming Pool|Play Area|Jogging Track|Gym|Visitor Parking|Club House|Security|Power Backup|Lift,10,10458156,6.4,7.0,0.8,8.5,5.68,5.87,5.64,5.75,0
1126,Delhi,Lajpat Nagar,Apartment,2,908,2,28,27,CCTV|Power Backup|Lift|Gym|Swimming Pool|Jogging Track|Play Area|Fire Safety|Parking|Visitor Parking|Club House,11,13489054,7.5,7.1,4.0,0.8,4.85,2.97,4.37,3.67,0
1127,Kolkata,Alipore,Independent House,4,1973,4,23,4,Jogging Track|Fire Safety|Swimming Pool|Intercom|Garden|Gym|Visitor Parking|Security|Power Backup|Play Area|Parking|Club House,12,16114445,9.5,4.0,7.7,0.3,5.38,3.64,14.9,9.27,0
1128,Ahmedabad,Satellite,Independent House,4,1642,4,5,21,Play Area|Club House|Swimming Pool|CCTV|Lift|Security|Jogging Track|Gym|Parking,9,8774154,7.1,6.3,7.4,3.2,6.0,2.64,1.07,1.85,0
1129,Chennai,Porur,Independent House,3,1104,3,4,2,Club House|Power Backup,2,7786491,5.1,1.0,0.9,5.5,3.12,5.58,11.98,8.78,0
1130,Kolkata,Salt Lake,Independent House,4,1597,4,24,2,Intercom|Security|CCTV|Fire Safety|Parking|Club House|Jogging Track|Swimming Pool|Power Backup|Garden|Lift,11,11003815,0.6,4.3,4.2,4.8,3.47,2.46,4.52,3.49,0
